prompt,target
"""I have opted for Stuttgart because the team has great potential and I am convinced that we can achieve a lot together,"" the 28-year-old said.",not_entailment
"Cleveland, Ohio (CNN) -- The niece of the mayor of Cleveland, Ohio, once lived with murder suspect Anthony Sowell, a registered sex offender charged with murder after the remains of 11 victims were found at his home, a spokeswoman for the mayor said Monday.",1
"""Fashion is being hit particularly hard in the new job market.",1
The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.,not_entailment
"It took only two weeks for about 3,000 boxes to move through warehouse.",not_entailment
"The company, based in Battle Creek, Michigan, made short order of the already-printed and filled boxes, donating two tons of cereal to the San Francisco Food Bank late last month.",1
Hleb had been expected to be part of the swap deal that saw Zlatan Ibrahimovic and Samuel Eto'o switch clubs earlier this week.,1
"Romania was a Nazi ally from 1940 to 1944, under the leadership of a right-wing military government led by General Ion Antonescu.",not_entailment
"The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.",not_entailment
"Watch Markoff in court »



The grand jury returned the indictment late Thursday, and it moves the case from Boston Municipal Court to Suffolk Superior Court, where Markoff entered his not guilty plea on Monday.",not_entailment
Administrators received several calls from people wanting to get the box as a novelty item.,not_entailment
"The authors of the book based it on interviews with 114 ""witnesses"" and access to unedited documents in the Vatican's archives, according to the publisher, Rizzoli.",not_entailment
The former Army truck driver asked for a reprieve from deployment because her husband travels for business and they would have no one to care for their children if she was sent overseas.,1
Iraqi officials have said the families were frightened by a series of killings and threats by Muslim extremists ordering them to convert to Islam or face death.,not_entailment
"BOSTON, Massachusetts (CNN) -- A 23-year-old medical student pleaded not guilty Monday to an indictment alleging first-degree murder charge in a killing tied to Craigslist.",1
"They don't have anybody else,"" Pagan told WCNC.",not_entailment
"Oakley's attorney, Herb Moncier, said outside court Thursday that Oakley's job was to break rods ""into little pieces"" and throw them away.",not_entailment
Hassan scored again at the other end to pull his side level with a powerful long-range strike before half-time which eventually forced the game into an additional 30 minutes in Benguela.,not_entailment
"All planes in the area of Terminal 2, where the incident took place, were evacuated and all luggage was removed, police said.",1
"He was someone who could see what was going to happen 50 years in advance, and very often, he was able to bring his vision to reality and share it with the entire musical community.",not_entailment
"Michael Strank, who was born in Czechoslovakia and came to the United States when he was 3, derived U.S. citizenship when his father was naturalized in 1935.",1
The tweets also raised doubts that the notorious technophobe was writing the messages himself.,not_entailment
"""We do remain in contact with the government of Kyrgyzstan,"" Yerkin said.",not_entailment
Manas Air Base in Kyrgyzstan serves as a U.S. supply route for troops and supplies into Afghanistan.,1
"Mazare, 41, said he had not noticed the Nazi swastika symbol on the uniform before he wore it, according to the Romanian Times newspaper.",1
"The number represents 1,424 families, at least 70 more families than were reported to be displaced on Wednesday.",1
Did this mean the Web couldn't help us fulfill our most basic obligations to those in need?,not_entailment
