prompt,prompt_len,target
How many passenger trips were made by tram in Melbourne between 2013-2014? | Melbourne is currently building 50 new E Class trams with some already in service in 2014.,47,1
"When was the thermionic triode invented? | The thermionic triode, a vacuum tube invented in 1907, enabled amplified radio technology and long-distance telephony.",39,0
"In what city was Elizabeth born? | Elizabeth was born in London to the Duke and Duchess of York, later King George VI and Queen Elizabeth, and was the elder of their two daughters.",39,0
What is entropy? | Entropy is a measure of evenness of a distribution of energy between parts of a system.,24,0
"What farmers are generally less dependent on capital, biotechnology and energy? | The control of associated biodiversity is one of the great agricultural challenges that farmers face.",31,1
"What is the literal translation of Theokotos? | The equivalent phrase ""Mater Dei"" (Mother of God) is more common in Latin and so also in the other languages used in the Western Catholic Church, but this same phrase in Greek (Μήτηρ Θεοῦ), in the abbreviated form of the first and last letter of the two words (ΜΡ ΘΥ), is the indication attached to her image in Byzantine icons.",89,1
"Feynman was famous for diagrams that showed how subatomic particles behaved, what are these known as? | Richard Phillips Feynman (/ˈfaɪnmən/; May 11, 1918 – February 15, 1988) was an American theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model.",107,1
What is the main component of drying the paper? | On the paper machine the most common is the steam heated can dryer.,26,1
"How many people were counted in the 2010 census? | As of the 2010 census, there were 579,999 people, 230,233 households, and 144,120 families residing in the city.",63,0
"What are some of the issues Apple cited in the lawsuit against Microsoft and HP? | Apple's actions were criticized by some in the software community, including the Free Software Foundation (FSF), who felt Apple was trying to monopolize on GUIs in general, and boycotted GNU software for the Macintosh platform for seven years.",68,1
What is known as one of the most prolific type of religious music in Armenia? | One of the oldest types of Armenian music is the Armenian chant which is the most common kind of religious music in Armenia.,42,0
"When did Patrick Henry School of Science and Arts open its doors? | Richmond's public school district also runs one of Virginia's four public charter schools, the Patrick Henry School of Science and Arts, which was founded in 2010.",52,0
"What does the scope of testing the software also look at? | In the current culture of software development, a testing organization may be separate from the development team.",33,1
"In addition to cyberctm.com, what other website was shut down for two days? | Both orchidbbs.com and cyberctm.com Internet forums were shut down from May 2 to 4.",45,0
What is considered to be the end game of Gaius Gracchus? | Gaius Gracchus' ultimate goal was to weaken the senate and to strengthen the democratic forces.,37,0
"Who was the Admiral of the German pocket ship? | After the Battle of the River Plate with the Royal Navy and Royal New Zealand Navy on 13 December 1939, the Graf Spee retreated to Montevideo's port, which was considered neutral at the time.",58,1
"What does the word ""races"" mean as referenced in Darwin's book? | Here the term ""races"" is used as an alternative for ""varieties"" and does not carry the modern connotation of human races—the first use in the book refers to ""the several races, for instance, of the cabbage"" and proceeds to a discussion of ""the hereditary varieties or races of our domestic animals and plants"".",84,0
Which venue created a unique environment in which people from many different walks of life could gather and share ideas? | Coffeehouses were especially important to the spread of knowledge during the Enlightenment because they created a unique environment in which people from many different walks of life gathered and shared ideas.,56,0
what is the great plains? | The region is known for supporting extensive cattle ranching and dry farming.,22,1
Who provided the soundtrack for the longer TCM Remembers episode in 2009? | Badly Drawn Boy (2007) or Steve Earle (2009).,39,0
"Where did Dell configure their notebooks? | Throughout most of the company's history, Dell manufactured desktop machines in-house and contracted out manufacturing of base notebooks for configuration in-house.",38,0
Which famous automobile designer is considered a non - academic alumni? | Non-academic alumni:,19,1
"What was the name of the clone in Poland? | The Micro Genius (Simplified Chinese: 小天才) was marketed in Southeast Asia as an alternative to the Famicom; Samurai was the popular PAL alternative to the NES; and in Central Europe, especially Poland, the Pegasus was available.",59,0
"Who was lead writer of The Sun? | ""There are traitors in our midst"", wrote leader writer Ronald Spark on 7 May, accusing commentators on Daily Mirror and The Guardian, plus the BBC's defence correspondent Peter Snow, of ""treason"" for aspects of their coverage.",58,0
"Both Wutaishan Sports Center and Nanjing Olympic Sports Center contain a stadium, gymnasium, natatorium, and what other facility? | Both of these two are comprehensive sports centers, including stadium, gymnasium, natatorium, tennis court, etc.",49,0
"What score did the PS3 Slim earn from PC World? | The PlayStation 3 Slim received extremely positive reviews as well as a boost in sales; less than 24 hours after its announcement, PS3 Slim took the number-one bestseller spot on Amazon.com in the video games section for fifteen consecutive days.",65,1
"When monks pulled out of the event, where was the new starting point for the relay? | The public was not allowed at the parking lot where the relay started.",34,1
"What City College initiative did Northwestern announce signing on with in 2016? | Through this partnership, Northwestern is one of 15 Illinois public and private universities that will ""provide scholarships to students who graduate from Chicago Public Schools, get their associate degree from one of the city's community colleges, and then get admitted to a bachelor's degree program.""",75,1
"In which year did the Supreme Court hear Milliken v. Bradley? | The U.S. Supreme Court took up the case February 27, 1974.",38,0
Insects growth is constrained by what? | Insect growth is constrained by the inelastic exoskeleton and development involves a series of molts.,29,0
"How many vacuum tubes did the Atanasoff-Berry computer use? | This design was also all-electronic and used about 300 vacuum tubes, with capacitors fixed in a mechanically rotating drum for memory.",44,0
