prompt,prompt_len,target
Barbara W. Tuchman,6,1
Zephaniah Platt,5,1
Billy Mays,3,1
Li Weiyue,5,0
Walter Dornberger,4,1
Johann Eustach von Westernach,7,0
Étienne Turquet,4,0
German Goldenshteyn,6,1
Edgar Alexander Mearns,6,1
Abraham Lincoln,3,1
Anna Maria Braun,4,0
Johann Friedrich II. von Alvensleben,9,0
Richard Blund,4,0
"Joan, Countess of Toulouse",6,0
Christian Ernst Wünsch,6,0
Pierre Duacensis,5,0
Henry Middleton,3,1
Albert Arnold Gillespie,4,1
Carl Swartz,3,0
Wassily Leontief,5,1
Michael VII Doukas,5,0
Giacomo Cocco,5,0
Jimmy Miller,3,1
Francisco Ibáñez de Peralta,6,0
Felix Hemmerlin,5,0
Piet Kraak,4,0
"Otto V, Duke of Brunswick-Lüneburg",11,0
Samuel ben Hofni,5,0
Alan Perlis,4,1
Lu Cangyong,4,0
Jehu Jones,4,1
Vitas Gerulaitis,6,1
Hedy Lamarr,5,1
Hermogenes of Moscow,6,0
Francesco II Sforza,5,0
安丙,3,0
Major Harris,3,1
Roger Williams,3,1
Otto Mellies,4,0
Niccolò Cicerchia,7,0
Cuthbert of Canterbury,6,0
Friedrich Stohmann,5,0
Linus Pauling,5,1
Stephanie L. Kwolek,7,1
Richard Courant,3,1
John Heath,3,1
John Kantakouzenos,7,0
István Báncsa,6,0
Christy Mathewson,4,1
Constant von Wurzbach,6,0
Carl Sagan,3,1
John Gregg,3,1
Cyd Charisse,5,1
John Stevens Cabot Abbott,5,1
"Giovanni Borgia, 2nd Duke of Gandia",12,0
Althea Gibson,4,1
Emile Berliner,3,1
Andreas von Sonnenberg,5,0
Abraham Bosse,4,0
Martinus Houttuyn,6,0
Norman Abramson,4,1
Joyce K. Reynolds,5,1
Emily Dickinson,3,1
Lee Ji-ran,5,0
Guillaume Chauvin,4,0
Julius Adams Stratton,4,1
Karl von Eckartshausen,6,0
Richard Goldschmidt,4,1
Nathaniel Peffer,4,1
Roberto Noble,3,0
Theodor Fliedner,6,0
Landulf of Milan,5,0
杨政,3,0
Germaine Mason,4,0
Manfred Bukofzer,5,1
Stefano da Verona,4,0
William Henry Harrison,4,1
Wang Yan,3,0
Heinrich Schliemann,5,1
William Christopher of Baden-Baden,7,0
Dietrich Georg von Kieser,7,0
Geri d'Arezzo,6,0
Joseph D. Sneed,6,1
Ella Fitzgerald,3,1
Étienne Lauréault de Foncemagne,9,0
Carl Nieroth,5,0
Betty Holberton,4,1
"Manfred V, Marquess of Saluzzo",10,0
Gábor Béla Fodor,6,1
Bill Tilden,4,1
Avitus of Micy,7,0
David Gregor Corner,4,0
E. H. Calvert,6,1
Georg Joseph Beer,4,0
Charles Schlee,4,1
An Lushan,4,0
Jacques Chausson,5,0
Rodrigo of Castile,4,0
Eleanor F. Helin,6,1
Wei Mo,3,0
Joachim Justus Breithaupt,7,0
Andreas von Felben,5,0
James Theodore Kuncewicz,6,0
Fernand Grosjean,5,0
Thomas B. Jackson,5,1
Charles d'Évreux,7,0
John Belushi,4,1
Misha Mahowald,6,1
司馬躍,4,0
Yolande of Aragon,6,0
Ernst Rüdiger von Starhemberg,8,0
Andreas Masius,4,0
Andrew Ellicott,5,1
Allen G. Debus,6,1
Natalie Clifford Barney,4,1
Richard Courant,3,1
Renaud de Vichiers,7,0
Berthold II of Landsberg,7,0
Adolf III of Berg,5,0
Oskar Maria Graf,5,1
"Sohier II, Count of Enghien",9,0
Matthias Weckmann,5,0
J. P. Morgan,6,1
Melvil Dewey,4,1
Edmund M. Clarke,5,1
Johann Friedrich Unger,4,0
William Stern,3,1
Emil Julius Gumbel,5,1
John Lewis,3,1
Peter Sharpe,3,1
Robert Hales,3,0
Palma il Giovane,6,0
Mithridates of Cius,7,0
"Hugh IV, count of Nordgau",8,0
Joseph D. Sneed,6,1
"Michael de la Pole, 1st Earl of Suffolk",12,0
Martin Roman,3,1
William Stern,3,1
"Henry II the Good, Count of Stade",9,0
Jacobus Barbireau,6,0
Mary Macaulay,3,1
Conrad Feurer,4,0
Nicolas-Joseph Cugnot,7,0
Christian Weise,3,0
Adele Goldstine,4,1
Tod Browning,3,1
Jacopo Avanzo,5,0
Elsie Eaves,5,1
John of Dukla,5,0
Wang Qinruo,5,0
John III of Nassau-Weilburg,8,0
Conrad of Pfullingen,6,0
Larry King,3,1
Jacob Crocheron,4,1
John George Kemeny,5,1
Karl Siegmund von Seckendorff,8,0
Tadeusz Kościuszko,7,1
Jonathan Winters,3,1
Rostam Farrokhzād,8,0
Erich Neumann,3,0
John Hancock,3,1
Louis de Villars,5,0
Oleg I of Ryazan,6,0
Wolfram Freiherr von Richthofen,9,0
Emil Artin,4,1
Ida Rolf,3,1
Egidiola Gonzaga,5,0
Richard Goldschmidt,4,1
Little Richard,3,1
John Tyler,3,1
Alexander Selkirk,4,0
Courtney Hodges,3,1
Edith Clarke,3,1
Juan Ruiz,3,0
Louis I,3,0
John George Kemeny,5,1
Johann Gottfried Walther,4,0
Giovanni Tavelli,4,0
Frank Malina,4,1
Alexander Spotswood,4,1
胡亢,3,0
John Doeg,4,1
Christian Knorr von Rosenroth,7,0
Pierre-Auguste Renoir,5,0
Johann Ludwig Faber,4,0
Unni,3,0
Jakob Kaiser,3,0
Martin Schwarzschild,4,1
Nicolas Poussin,4,0
Eleonora Gonzaga,4,0
Leroy Shield,3,1
Marcel Breuer,4,1
Leonard of Noblac,5,0
Jimi Hendrix,4,1
Pedro Álvares Cabral,5,0
Johann Prokop Mayer,5,0
Franklin Pierce,3,1
Maximilian Prokop von Toerring-Jettenbach,12,0
Bai Renfu,4,0
Edgar Alexander Mearns,6,1
Vittorio De Sica,6,0
Alexander Sumarokov,6,0
Andrew of Constantinople,4,0
Ludwig Mies van der Rohe,7,1
Albert King,3,1
Joseph Altman,3,1
Du Fu,3,0
Gerhard I. von Schauenburg,8,0
Ellen Swallow Richards,4,1
Malcolm X,3,1
Neil Armstrong,3,1
Richard Nixon,3,1
Allene Ray,4,1
Paul Scheerbart,5,0
T. S. Eliot,7,1
William Camden,3,0
Ronald Reagan,3,1
Leonard Calvert,3,1
Luis Vives,4,0
Emperor Wu of Jin,5,0
Zbigniew of Poland,5,0
Zhao Zhi,3,0
Edward Lucas,3,1
Martin Roman,3,1
Josephine Cochrane,4,1
Wolfgang Kapp,3,1
Chilperic I of Burgundy,8,0
Charles Pfizer,3,0
David Darling,3,1
Muhammad II ibn Faris of Morocco,8,0
Mary Tyler Moore,4,1
Alastair G. W. Cameron,8,1
Clifford Herschel Moore,4,1
William J. Lewis,5,1
"Giles de Badlesmere, 2nd Baron Badlesmere",15,0
Carl W. Ackerman,5,1
Newton Cannon,3,1
Adam Trcka von Lipa,6,0
Thomas Macdonough,5,1
Sarah Palfrey Cooke,5,1
Johann Heinrich Sulzer,5,0
Ernest Hemingway,3,1
Hans Knappertsbusch,6,0
Samuel P. Huntington,5,1
Annette Abbott Adams,4,1
Amelia Earhart,4,1
Charles K. Kao,5,1
François-Charles de Velbrück,7,0
William Crawford,3,1
Charles Lewis Gazin,5,1
Oscar Goerke,5,1
Gordon Jennings,3,1
Jean E. Sammet,6,1
Oscar Goerke,5,1
Gabriel Valentin,3,0
Joe Zawinul,5,1
Jakob Kaschauer,4,0
Nicholas Bayard,3,1
Xie Ai,3,0
Natalia,2,0
Johnny Cash,3,1
Ernest Hemingway,3,1
Maureen Connolly,3,1
Billy Wilder,3,1
Julia O'Connor,5,1
Robert Barclay,3,1
Johann Melchior Wyrsch,6,0
Michael Curtiz,4,1
Albert Arnold Gillespie,4,1
"Catherine of Bosnia, Countess of Cilli",9,0
David Darling,3,1
Friedrich Koenig,3,0
Michelina of Pesaro,6,0
"Baldwin II, Count of Boulogne",7,0
Mike Nichols,3,1
Ambrosius Bosschaert,7,0
Jim Fitzgerald,3,1
Franz Xaver Haberl,6,0
John Smith,3,1
John Wayne,3,1
Friedrich II. von Parsberg,7,0
Olive Dennis,3,1
Mildred Cohn,4,1
Paul Scriptoris,5,0
Fausto Sozzini,5,0
James Madison,3,1
Gaetano Fraschini,5,0
Natalie Clifford Barney,4,1
Christopher Memminger,5,1
Severn E. Parker,6,1
Saul Alinsky,4,1
Don Alden Adams,4,1
Walter Dornberger,4,1
Alfred Hitchcock,3,1
Ulrich von Albeck,5,0
Pietro Farnese,4,0
Lucy Weston Pickett,4,1
Tian Ji'an,5,0
Brownie Mary,4,1
Max Gerson,4,1
Billy the Kid,4,1
Philip W. Anderson,5,1
Guy de Cortone,5,0
Viriathus,3,0
Blind Lemon Jefferson,4,1
Empress Quan,4,0
Xue Li,4,0
Humphrey Bogart,5,1
Adele Goldstine,4,1
Michael Hastings,3,1
Leonard Calvert,3,1
Karl von Miltitz,6,0
Herbert Hoover,3,1
Ida Rolf,3,1
John Parker,3,1
Henrique Soares da Costa,6,0
Ira H. Abbott,5,1
Frederick IV,3,0
Bernhard I of Werle,6,0
William Howard Taft,4,1
Jean Mone,3,0
Cass Elliot,3,1
William Trousdale,5,1
Roger Boisjoly,5,1
Bernard Nieuwentyt,5,0
Matteo da Prato,4,0
Lucille Lund,4,1
Eberhard Friedberger,6,0
Eleanor F. Helin,6,1
"James Hamilton, 1st Earl of Arran",10,0
Carl Sagan,3,1
Martha Burton Woodhead Williamson,6,1
Jackson Pollock,3,1
Kurt Goldstein,3,1
"Alfred A. Knopf, Sr.",8,1
Wilhelm Sebastian von Belling,6,0
Marlene Dietrich,3,1
Jacques Loeb,3,1
Helen Wills,3,1
James Bryant Conant,5,1
Carl Laemmle,5,1
Gaspar de Borja y Velasco,7,0
Teddy Billington,4,1
Eugen Richter,3,0
Ralph Barton Perry,4,1
Edward Lasker,4,1
Sophia Louise of Mecklenburg-Schwerin,8,0
Phil Hill,3,1
Erich Ollenhauer,5,0
Ferdinando II de' Medici,7,0
Helen Keller,3,1
Eric Berne,3,1
William A. Burwell,6,1
Angelo Cino,4,0
Hugo Spechtshart,5,0
Franz Ferdinand von Rummel,6,0
Catherine of Poděbrady,7,0
Julie Adams,3,1
Philippa of Hainault,6,0
Francis Walker,3,1
Frederika Charlotte Riedesel,8,0
"Elizabeth of Poland, Queen of Hungary",8,0
Nicolò Marcello,5,0
Henriette Herz,4,0
Coco Chanel,3,0
Robert Henryson,5,0
Maria of Calabria,4,0
Johann Baptist Alzog,5,0
Duke Ellington,3,1
曹景宗,4,0
Aloys Van de Vyvere,7,0
Gloria Dickson,3,1
Ellsworth Paine Killip,6,1
Johann Peter Süssmilch,6,0
"Edmund de Lacy, Baron of Pontefract",9,0
Kenneth John Conant,5,1
John Stevens Cabot Abbott,5,1
Ieuan ab Owain Glyndŵr,10,0
Wang Xizhi,5,0
Antonin Scalia,5,1
Charles Laughton,4,1
Elisha E. Meredith,6,1
William Wyler,4,1
Jonathan Demme,4,1
Milton Friedman Correa,4,1
Emma P. Carr,5,1
Arthur Penn,3,1
Yejong of Joseon,7,0
Uthman ibn Affan,7,0
Werner Jaeger,3,1
Kurt Von Hess,4,0
Hannah Duston,4,1
Gustave Doré,5,0
Jimi Hendrix,4,1
Francesco Sansovino,5,0
Martha Burton Woodhead Williamson,6,1
Harry S. Truman,5,1
Rudolf Friml,4,1
Joanna of Castile,4,0
Josef Bárta,4,0
Willem Jacob Luyten,6,1
Flann Sinna,5,0
Katharine Hepburn,4,1
Frederic Lewy,5,1
Gottfried Michaelsen,5,0
"Philip II, Count of Hanau-Münzenberg",12,0
John George Kemeny,5,1
George Clinton,3,1
William M. Mann,5,1
Simone Mantia,4,1
Lope de Aguirre,5,0
Christoph August Tiedge,5,0
Jean-Philippe Rameau,6,0
Andrea Pannonio,5,0
Mark Twain,3,1
Paul Francke,4,0
Constantine II of Bulgaria,6,0
Selena Quintanilla,4,1
Thomas Mifflin,3,1
Clinton Clauson,4,1
Adélaïde de Gueldre,9,0
Elie Wiesel,5,1
Eduard Hitzig,6,0
Rutger von Ascheberg,7,0
Muhammad Ali,3,1
Bledric ap Custennin,8,0
Adalbert Merx,5,0
Frieda Fromm-Reichmann,8,1
Nicholas Bayard,3,1
Johann Georg von Einsiedel,7,0
Apollonius of Ephesus,5,0
"Henry Beaufort, 2nd Earl of Somerset",10,0
Johannes Kelpius,4,1
Jacob Crocheron,4,1
Elias Boudinot,4,1
"Bernard II, Duke of Saxe-Lauenburg",10,0
Henry Morgenthau,5,1
John J. Morgan,5,1
Sidney Lumet,4,1
Ursus of Auxerre,6,0
Neil Armstrong,3,1
Liu Jingsu,5,0
Andreas Gottschalk,5,0
Costanzo,3,0
Kurt Weill,4,1
Xu Shen,3,0
George Dole,3,1
Johann Friedrich Weidler,5,0
George Tobias,3,1
Jack Hawkins,3,0
Fritz London,3,1
Gertrude B. Elion,7,1
John Kerr,3,1
Ed Lauter,3,1
Louis I,3,0
Gonzalo Pérez,4,0
Casper,2,0
Ruđer Josip Bošković,9,0
Caroline Endres Diescher,6,1
George Cukor,5,1
Gordon Jennings,3,1
Friedrich Trendelenburg,5,0
John Chishull,5,0
Bela Lugosi,5,1
Guillaume de Rancé,5,0
Johann Georg Abicht,5,0
